transect_id,domain_number,mean_start_m,n_start,sd_start_m,first_obs_start,last_obs_start,mean_end_m,n_end,sd_end_m,first_obs_end,last_obs_end,change_m,endpoint_rate_m_yr
usa_NC_0032_0164,15,31.933,6,6.121,1997-05-04,1998-03-04,48.975,8,11.091,2008-12-04,2009-11-05,17.042,1.465
usa_NC_0032_0165,15,26.583,6,6.915,1997-05-04,1998-03-04,50.943,7,8.897,2008-12-04,2009-10-20,24.360,2.094
usa_NC_0032_0166,16,26.500,6,4.059,1997-05-04,1998-03-04,52.914,7,7.870,2008-12-04,2009-10-20,26.414,2.271
usa_NC_0032_0167,16,27.300,6,4.009,1997-05-04,1998-03-04,52.317,6,9.088,2008-12-04,2009-10-20,25.017,2.151
usa_NC_0032_0168,16,29.167,6,3.934,1997-05-04,1998-03-04,56.529,7,8.202,2008-12-04,2009-10-20,27.362,2.353
usa_NC_0032_0169,16,24.680,5,3.708,1997-05-04,1998-03-04,55.100,7,8.911,2008-12-04,2009-10-20,30.420,2.616
usa_NC_0032_0170,16,28.220,5,5.253,1997-05-04,1998-03-04,60.380,5,6.353,2008-12-04,2009-08-17,32.160,2.765
usa_NC_0032_0171,16,31.300,5,9.222,1997-05-04,1998-03-04,61.940,5,6.409,2008-12-04,2009-08-17,30.640,2.634
usa_NC_0032_0172,16,32.200,5,8.374,1997-05-04,1998-03-04,59.533,3,7.032,2009-03-18,2009-08-09,27.333,2.350
usa_NC_0032_0173,16,31.080,5,8.387,1997-05-04,1998-03-04,61.533,3,7.919,2009-03-18,2009-08-09,30.453,2.618
usa_NC_0032_0174,16,30.940,5,7.798,1997-05-04,1998-03-04,58.850,4,15.080,2009-03-18,2009-11-05,27.910,2.400
usa_NC_0032_0175,16,35.240,5,5.749,1997-05-04,1998-03-04,60.825,4,16.530,2009-03-18,2009-11-05,25.585,2.200
usa_NC_0032_0176,17,34.975,4,2.941,1997-05-04,1998-03-04,61.120,5,14.171,2009-02-06,2009-11-05,26.145,2.248
usa_NC_0032_0177,17,27.400,4,2.268,1997-05-04,1998-03-04,55.140,5,13.145,2009-02-06,2009-11-05,27.740,2.385
usa_NC_0032_0178,17,39.925,4,3.639,1997-05-04,1998-03-04,70.633,6,14.006,2009-02-06,2009-11-05,30.708,2.640
usa_NC_0032_0179,17,23.600,4,8.084,1997-05-04,1998-03-04,56.850,6,13.939,2009-02-06,2009-11-05,33.250,2.859
usa_NC_0032_0180,17,22.950,4,10.088,1997-05-04,1998-03-04,58.143,7,14.753,2008-12-04,2009-11-05,35.193,3.026
usa_NC_0032_0181,17,24.700,4,7.515,1997-05-04,1998-03-04,64.800,8,13.339,2008-12-04,2009-11-05,40.100,3.448
usa_NC_0032_0182,17,24.900,4,8.484,1997-05-04,1998-03-04,64.900,8,14.680,2008-12-04,2009-11-05,40.000,3.439
usa_NC_0032_0183,17,27.675,4,9.206,1997-05-04,1998-03-04,68.025,8,13.201,2008-12-04,2009-11-05,40.350,3.469
usa_NC_0032_0184,17,27.275,4,7.781,1997-05-04,1998-03-04,70.529,7,9.853,2008-12-04,2009-10-20,43.254,3.719
usa_NC_0032_0185,17,23.700,4,8.396,1997-05-04,1998-03-04,68.129,7,10.060,2008-12-04,2009-10-20,44.429,3.820
usa_NC_0032_0186,18,23.725,4,10.792,1997-05-04,1998-03-04,66.971,7,10.991,2008-12-04,2009-10-20,43.246,3.718
usa_NC_0032_0187,18,25.350,4,9.814,1997-05-04,1998-03-04,65.017,6,11.438,2008-12-04,2009-10-20,39.667,3.411
usa_NC_0032_0188,18,22.625,4,7.455,1997-05-04,1998-03-04,63.543,7,11.614,2008-12-04,2009-10-20,40.918,3.518
usa_NC_0032_0189,18,16.975,4,10.115,1997-05-04,1998-03-04,52.817,6,10.559,2008-12-04,2009-10-20,35.842,3.082
usa_NC_0032_0190,18,18.250,4,11.219,1997-05-04,1998-03-04,51.400,5,13.561,2008-12-04,2009-08-17,33.150,2.850
usa_NC_0032_0191,18,19.720,5,9.145,1997-05-04,1998-03-04,45.100,3,18.069,2009-03-18,2009-08-09,25.380,2.182
usa_NC_0032_0192,18,15.983,6,8.814,1997-05-04,1998-03-04,39.325,4,16.903,2009-03-18,2009-11-05,23.342,2.007
usa_NC_0032_0193,18,35.317,6,9.277,1997-05-04,1998-03-04,61.250,4,19.360,2009-03-18,2009-11-05,25.933,2.230
usa_NC_0032_0194,18,41.150,6,8.581,1997-05-04,1998-03-04,64.450,4,17.442,2009-03-18,2009-11-05,23.300,2.003
usa_NC_0032_0195,18,39.883,6,8.288,1997-05-04,1998-03-04,57.480,5,14.792,2009-02-06,2009-11-05,17.597,1.513
usa_NC_0032_0196,19,33.083,6,8.642,1997-05-04,1998-03-04,51.440,5,14.713,2009-02-06,2009-11-05,18.357,1.578
usa_NC_0032_0197,19,44.317,6,10.884,1997-05-04,1998-03-04,61.140,5,15.011,2009-02-06,2009-11-05,16.823,1.446
usa_NC_0032_0198,19,34.583,6,10.008,1997-05-04,1998-03-04,49.467,6,16.685,2009-02-06,2009-11-05,14.883,1.280
usa_NC_0032_0199,19,24.983,6,10.969,1997-05-04,1998-03-04,39.350,6,17.269,2009-02-06,2009-11-05,14.367,1.235
usa_NC_0032_0200,19,12.883,6,10.933,1997-05-04,1998-03-04,28.287,8,13.830,2008-12-04,2009-11-05,15.404,1.324
usa_NC_0032_0201,19,20.817,6,7.373,1997-05-04,1998-03-04,33.138,8,11.369,2008-12-04,2009-11-05,12.321,1.059
usa_NC_0032_0202,19,14.833,6,6.899,1997-05-04,1998-03-04,27.350,8,10.870,2008-12-04,2009-11-05,12.517,1.076
usa_NC_0032_0203,19,15.350,6,6.770,1997-05-04,1998-03-04,26.175,8,10.371,2008-12-04,2009-11-05,10.825,0.931
usa_NC_0032_0204,19,14.250,6,4.808,1997-05-04,1998-03-04,22.429,7,10.092,2008-12-04,2009-10-20,8.179,0.703
usa_NC_0032_0205,19,20.350,6,4.683,1997-05-04,1998-03-04,22.857,7,10.616,2008-12-04,2009-10-20,2.507,0.216
usa_NC_0032_0206,20,40.717,6,7.685,1997-05-04,1998-03-04,40.000,6,10.191,2008-12-04,2009-10-20,-0.717,-0.062
usa_NC_0032_0207,20,24.383,6,6.904,1997-05-04,1998-03-04,23.129,7,9.979,2008-12-04,2009-10-20,-1.255,-0.108
usa_NC_0032_0208,20,26.033,6,5.211,1997-05-04,1998-03-04,21.967,6,8.711,2008-12-04,2009-10-20,-4.067,-0.350
usa_NC_0032_0209,20,35.083,6,6.538,1997-05-04,1998-03-04,25.500,5,9.079,2008-12-04,2009-08-17,-9.583,-0.824
usa_NC_0032_0210,20,46.600,6,9.392,1997-05-04,1998-03-04,36.150,4,16.060,2009-03-18,2009-08-17,-10.450,-0.899
usa_NC_0032_0211,20,32.417,6,9.053,1997-05-04,1998-03-04,12.433,3,16.321,2009-03-18,2009-08-09,-19.983,-1.718
usa_NC_0032_0212,20,50.167,6,9.423,1997-05-04,1998-03-04,33.250,4,17.628,2009-03-18,2009-11-05,-16.917,-1.455
usa_NC_0032_0213,20,48.017,6,10.125,1997-05-04,1998-03-04,39.050,4,15.242,2009-03-18,2009-11-05,-8.967,-0.771
usa_NC_0032_0214,20,77.533,6,12.841,1997-05-04,1998-03-04,66.500,5,13.646,2009-02-06,2009-11-05,-11.033,-0.949
usa_NC_0033_0001,20,51.638,8,10.667,1997-05-04,1998-03-04,42.100,5,13.272,2009-02-06,2009-11-05,-9.538,-0.820
