transect_id,domain_number,lrr_m_yr,unc_m_yr,r_squared,n_obs,start_date,end_date,position_start_m,n_start,position_end_m,n_end,projected_change_m,projected_unc_m,observed_change_m,observed_minus_projected_m,window,lrr_window,span_years
usa_NC_0032_0088,8,-0.7878,0.1877,0.1146,527,1996-01-26,2024-12-08,51.9333,12,28.8733,15,-11.0292,2.6278,-23.0600,-12.0308,1996_2010,1996_2024,14
usa_NC_0032_0089,8,-0.6723,0.2015,0.0747,534,1996-01-26,2024-12-08,46.8250,12,28.9867,15,-9.4122,2.8210,-17.8383,-8.4261,1996_2010,1996_2024,14
usa_NC_0032_0090,8,-0.4569,0.2088,0.0340,527,1996-01-26,2024-12-08,38.5083,12,17.4667,15,-6.3966,2.9232,-21.0417,-14.6451,1996_2010,1996_2024,14
usa_NC_0032_0091,8,-0.3017,0.2123,0.0146,529,1996-01-26,2024-12-08,92.4083,12,72.2176,17,-4.2238,2.9722,-20.1907,-15.9669,1996_2010,1996_2024,14
usa_NC_0032_0092,8,-0.1943,0.2120,0.0061,526,1996-01-26,2024-12-08,59.3667,12,41.1625,16,-2.7202,2.9680,-18.2042,-15.4840,1996_2010,1996_2024,14
usa_NC_0032_0093,8,-0.0540,0.2100,0.0005,531,1996-01-26,2024-12-08,66.4167,12,52.7933,15,-0.7560,2.9400,-13.6233,-12.8673,1996_2010,1996_2024,14
usa_NC_0032_0094,8,-0.0267,0.2233,0.0001,521,1996-01-26,2024-12-08,35.1333,12,18.1467,15,-0.3738,3.1262,-16.9867,-16.6129,1996_2010,1996_2024,14
usa_NC_0032_0095,8,-0.0948,0.2250,0.0013,526,1996-01-26,2024-12-08,82.9917,12,62.4600,15,-1.3272,3.1500,-20.5317,-19.2045,1996_2010,1996_2024,14
usa_NC_0032_0096,9,-0.0735,0.2181,0.0008,529,1996-01-26,2024-12-08,40.5750,12,19.6800,15,-1.0290,3.0534,-20.8950,-19.8660,1996_2010,1996_2024,14
usa_NC_0032_0097,9,0.0904,0.2077,0.0014,520,1996-01-26,2024-12-08,61.7417,12,36.3417,12,1.2656,2.9078,-25.4000,-26.6656,1996_2010,1996_2024,14
usa_NC_0032_0098,9,0.0984,0.1924,0.0020,517,1996-01-26,2024-12-08,56.6333,12,31.1917,12,1.3776,2.6936,-25.4417,-26.8193,1996_2010,1996_2024,14
usa_NC_0032_0099,9,0.0954,0.1820,0.0021,513,1996-01-26,2024-12-08,52.7917,12,29.6333,12,1.3356,2.5480,-23.1583,-24.4939,1996_2010,1996_2024,14
usa_NC_0032_0100,9,0.1508,0.1845,0.0051,509,1996-01-26,2024-12-08,51.6583,12,27.4917,12,2.1112,2.5830,-24.1667,-26.2779,1996_2010,1996_2024,14
usa_NC_0032_0101,9,0.1399,0.1710,0.0050,519,1996-01-26,2024-12-08,50.6250,12,29.4667,12,1.9586,2.3940,-21.1583,-23.1169,1996_2010,1996_2024,14
usa_NC_0032_0102,9,0.1664,0.1729,0.0069,516,1996-01-26,2024-12-08,52.8917,12,28.0333,12,2.3296,2.4206,-24.8583,-27.1879,1996_2010,1996_2024,14
usa_NC_0032_0103,9,0.2618,0.1799,0.0160,506,1996-01-26,2024-12-08,56.3833,12,26.2167,12,3.6652,2.5186,-30.1667,-33.8319,1996_2010,1996_2024,14
usa_NC_0032_0104,9,0.3046,0.1796,0.0214,510,1996-01-26,2024-12-08,54.4000,12,21.0200,15,4.2644,2.5144,-33.3800,-37.6444,1996_2010,1996_2024,14
usa_NC_0032_0105,10,0.4012,0.1812,0.0362,505,1996-01-26,2024-12-08,57.3583,12,20.9400,15,5.6168,2.5368,-36.4183,-42.0351,1996_2010,1996_2024,14
usa_NC_0032_0106,10,0.4617,0.1829,0.0465,506,1996-01-26,2024-12-08,55.9250,12,20.9267,15,6.4638,2.5606,-34.9983,-41.4621,1996_2010,1996_2024,14
usa_NC_0032_0107,10,0.5819,0.1850,0.0693,515,1996-01-26,2024-12-08,61.0333,12,31.8000,15,8.1466,2.5900,-29.2333,-37.3799,1996_2010,1996_2024,14
usa_NC_0032_0108,10,0.7280,0.1902,0.0986,519,1996-01-26,2024-12-08,58.8583,12,27.2000,15,10.1920,2.6628,-31.6583,-41.8503,1996_2010,1996_2024,14
usa_NC_0032_0109,10,0.7919,0.1913,0.1142,515,1996-01-26,2024-12-08,64.5917,12,27.1059,17,11.0866,2.6782,-37.4858,-48.5724,1996_2010,1996_2024,14
usa_NC_0032_0110,10,0.8147,0.1963,0.1154,512,1996-01-26,2024-12-08,78.5667,12,35.5062,16,11.4058,2.7482,-43.0604,-54.4662,1996_2010,1996_2024,14
usa_NC_0032_0111,10,0.8544,0.1894,0.1319,519,1996-01-26,2024-12-08,64.4692,13,24.5562,16,11.9616,2.6516,-39.9130,-51.8746,1996_2010,1996_2024,14
usa_NC_0032_0112,10,0.8564,0.1863,0.1372,515,1996-01-26,2024-12-08,61.6538,13,27.6000,15,11.9896,2.6082,-34.0538,-46.0434,1996_2010,1996_2024,14
usa_NC_0032_0113,10,0.8494,0.1896,0.1309,516,1996-01-26,2024-12-08,59.6000,13,26.4133,15,11.8916,2.6544,-33.1867,-45.0783,1996_2010,1996_2024,14
usa_NC_0032_0114,10,0.8032,0.1868,0.1201,525,1996-01-26,2024-12-08,58.4462,13,28.1067,15,11.2448,2.6152,-30.3395,-41.5843,1996_2010,1996_2024,14
usa_NC_0032_0115,11,0.9105,0.1891,0.1495,511,1996-01-26,2024-12-08,58.2538,13,26.4333,12,12.7470,2.6474,-31.8205,-44.5675,1996_2010,1996_2024,14
usa_NC_0032_0116,11,0.8597,0.1980,0.1364,463,1996-01-26,2024-12-08,61.8769,13,20.2636,11,12.0358,2.7720,-41.6133,-53.6491,1996_2010,1996_2024,14
usa_NC_0032_0117,11,0.8046,0.2010,0.1188,461,1996-01-26,2024-12-08,68.0385,13,23.6182,11,11.2644,2.8140,-44.4203,-55.6847,1996_2010,1996_2024,14
usa_NC_0032_0118,11,0.8530,0.2042,0.1292,456,1996-01-26,2024-12-08,71.5846,13,26.2273,11,11.9420,2.8588,-45.3573,-57.2993,1996_2010,1996_2024,14
usa_NC_0032_0119,11,0.8718,0.1942,0.1453,460,1996-01-26,2024-12-08,73.0250,12,29.5091,11,12.2052,2.7188,-43.5159,-55.7211,1996_2010,1996_2024,14
usa_NC_0032_0120,11,0.7550,0.1900,0.1172,461,1996-01-26,2024-12-08,72.6083,12,32.6500,12,10.5700,2.6600,-39.9583,-50.5283,1996_2010,1996_2024,14
usa_NC_0032_0121,11,0.7273,0.1867,0.1030,512,1996-01-26,2024-12-08,73.1500,12,34.3833,12,10.1822,2.6138,-38.7667,-48.9489,1996_2010,1996_2024,14
usa_NC_0032_0122,11,0.6894,0.1833,0.0975,507,1996-01-26,2024-12-08,67.0583,12,31.3917,12,9.6516,2.5662,-35.6667,-45.3183,1996_2010,1996_2024,14
usa_NC_0032_0123,11,0.7046,0.1806,0.1053,501,1996-01-26,2024-12-08,66.2250,12,33.4533,15,9.8644,2.5284,-32.7717,-42.6361,1996_2010,1996_2024,14
usa_NC_0032_0124,11,0.7393,0.1831,0.1104,509,1996-01-26,2024-12-08,71.4917,12,37.0267,15,10.3502,2.5634,-34.4650,-44.8152,1996_2010,1996_2024,14
usa_NC_0032_0125,12,0.7254,0.1824,0.1069,512,1996-01-26,2024-12-08,74.2750,12,40.7267,15,10.1556,2.5536,-33.5483,-43.7039,1996_2010,1996_2024,14
usa_NC_0032_0126,12,0.7447,0.1879,0.1059,514,1996-01-26,2024-12-08,68.5667,12,35.2333,15,10.4258,2.6306,-33.3333,-43.7591,1996_2010,1996_2024,14
usa_NC_0032_0127,12,0.6976,0.1964,0.0959,461,1996-01-26,2024-12-08,74.8583,12,39.1533,15,9.7664,2.7496,-35.7050,-45.4714,1996_2010,1996_2024,14
usa_NC_0032_0128,12,0.6598,0.1960,0.0864,465,1996-01-26,2024-12-08,76.3083,12,37.2059,17,9.2372,2.7440,-39.1025,-48.3397,1996_2010,1996_2024,14
usa_NC_0032_0129,12,0.6202,0.1921,0.0748,500,1996-01-26,2024-12-08,72.2083,12,33.6812,16,8.6828,2.6894,-38.5271,-47.2099,1996_2010,1996_2024,14
usa_NC_0032_0130,12,0.5465,0.1902,0.0592,509,1996-01-26,2024-12-08,71.4833,12,37.4625,16,7.6510,2.6628,-34.0208,-41.6718,1996_2010,1996_2024,14
usa_NC_0032_0131,12,0.5604,0.1844,0.0667,501,1996-01-26,2024-12-08,69.4250,12,37.6200,15,7.8456,2.5816,-31.8050,-39.6506,1996_2010,1996_2024,14
usa_NC_0032_0132,12,0.5452,0.1831,0.0640,503,1996-01-26,2024-12-08,68.4917,12,38.7800,15,7.6328,2.5634,-29.7117,-37.3445,1996_2010,1996_2024,14
usa_NC_0032_0133,12,0.5123,0.1810,0.0578,506,1996-01-26,2024-12-08,70.3000,12,40.9400,15,7.1722,2.5340,-29.3600,-36.5322,1996_2010,1996_2024,14
usa_NC_0032_0134,12,0.5574,0.1773,0.0705,505,1996-01-26,2024-12-08,73.6167,12,43.8667,12,7.8036,2.4822,-29.7500,-37.5536,1996_2010,1996_2024,14
usa_NC_0032_0135,13,0.5426,0.1758,0.0675,510,1996-01-26,2024-12-08,71.9083,12,44.4917,12,7.5964,2.4612,-27.4167,-35.0131,1996_2010,1996_2024,14
usa_NC_0032_0136,13,0.5002,0.1787,0.0568,504,1996-01-26,2024-12-08,71.6917,12,45.5333,12,7.0028,2.5018,-26.1583,-33.1611,1996_2010,1996_2024,14
usa_NC_0032_0137,13,0.5372,0.1784,0.0652,504,1996-01-26,2024-12-08,72.0500,12,47.7417,12,7.5208,2.4976,-24.3083,-31.8291,1996_2010,1996_2024,14
usa_NC_0032_0138,13,0.5068,0.1717,0.0630,502,1996-01-26,2024-12-08,69.7667,12,48.7917,12,7.0952,2.4038,-20.9750,-28.0702,1996_2010,1996_2024,14
usa_NC_0032_0139,13,0.5103,0.1735,0.0621,506,1996-01-26,2024-12-08,71.1167,12,49.6750,12,7.1442,2.4290,-21.4417,-28.5859,1996_2010,1996_2024,14
usa_NC_0032_0140,13,0.4639,0.1741,0.0518,503,1996-01-26,2024-12-08,64.7417,12,44.2250,12,6.4946,2.4374,-20.5167,-27.0113,1996_2010,1996_2024,14
usa_NC_0032_0141,13,0.5310,0.1701,0.0719,488,1996-01-26,2024-12-08,63.1750,12,45.6000,12,7.4340,2.3814,-17.5750,-25.0090,1996_2010,1996_2024,14
usa_NC_0032_0142,13,0.5753,0.1711,0.0832,483,1996-01-26,2024-12-08,59.9417,12,47.6923,13,8.0542,2.3954,-12.2494,-20.3036,1996_2010,1996_2024,14
usa_NC_0032_0143,13,0.6031,0.1674,0.0951,479,1996-01-26,2024-12-08,54.2333,12,48.8267,15,8.4434,2.3436,-5.4067,-13.8501,1996_2010,1996_2024,14
usa_NC_0032_0144,13,0.6901,0.1711,0.1186,469,1996-01-26,2024-12-08,57.3000,12,51.4333,15,9.6614,2.3954,-5.8667,-15.5281,1996_2010,1996_2024,14
usa_NC_0032_0145,13,0.7436,0.1741,0.1320,465,1996-01-26,2024-12-08,50.8583,12,41.6933,15,10.4104,2.4374,-9.1650,-19.5754,1996_2010,1996_2024,14
usa_NC_0032_0146,14,0.8088,0.1763,0.1471,473,1996-01-26,2024-12-08,62.7250,12,53.2000,15,11.3232,2.4682,-9.5250,-20.8482,1996_2010,1996_2024,14
usa_NC_0032_0147,14,0.9000,0.1754,0.1762,477,1996-01-26,2024-12-08,57.0750,12,46.5933,15,12.6000,2.4556,-10.4817,-23.0817,1996_2010,1996_2024,14
usa_NC_0032_0148,14,0.9428,0.1783,0.1836,482,1996-01-26,2024-12-08,54.9083,12,38.8000,17,13.1992,2.4962,-16.1083,-29.3075,1996_2010,1996_2024,14
usa_NC_0032_0149,14,1.0179,0.1799,0.1962,508,1996-01-26,2024-12-08,59.6583,12,42.1812,16,14.2506,2.5186,-17.4771,-31.7277,1996_2010,1996_2024,14
usa_NC_0032_0150,14,1.0686,0.1840,0.2014,518,1996-01-26,2024-12-08,61.7333,12,44.5500,16,14.9604,2.5760,-17.1833,-32.1437,1996_2010,1996_2024,14
usa_NC_0032_0151,14,1.0505,0.1825,0.1988,517,1996-01-26,2024-12-08,62.5917,12,45.6187,16,14.7070,2.5550,-16.9729,-31.6799,1996_2010,1996_2024,14
usa_NC_0032_0152,14,1.1271,0.1890,0.2108,516,1996-01-26,2024-12-08,63.6667,12,44.3750,16,15.7794,2.6460,-19.2917,-35.0711,1996_2010,1996_2024,14
usa_NC_0032_0153,14,1.1884,0.1950,0.2200,510,1996-01-26,2024-12-08,65.5500,12,43.1615,13,16.6376,2.7300,-22.3885,-39.0261,1996_2010,1996_2024,14
usa_NC_0032_0154,14,1.2106,0.1961,0.2228,515,1996-01-26,2024-12-08,61.8417,12,42.3333,12,16.9484,2.7454,-19.5083,-36.4567,1996_2010,1996_2024,14
usa_NC_0032_0155,14,1.2545,0.1960,0.2367,512,1996-01-26,2024-12-08,63.8500,12,43.2333,12,17.5630,2.7440,-20.6167,-38.1797,1996_2010,1996_2024,14
usa_NC_0032_0156,15,1.2633,0.1954,0.2419,508,1996-01-26,2024-12-08,65.3000,12,41.5167,12,17.6862,2.7356,-23.7833,-41.4695,1996_2010,1996_2024,14
usa_NC_0032_0157,15,1.3048,0.1880,0.2683,509,1996-01-26,2024-12-08,61.8750,12,41.3231,13,18.2672,2.6320,-20.5519,-38.8191,1996_2010,1996_2024,14
usa_NC_0032_0158,15,1.3130,0.1855,0.2765,508,1996-01-26,2024-12-08,61.0692,13,43.3538,13,18.3820,2.5970,-17.7154,-36.0974,1996_2010,1996_2024,14
usa_NC_0032_0159,15,1.2895,0.1769,0.2900,504,1996-01-26,2024-12-08,65.7308,13,49.2538,13,18.0530,2.4766,-16.4769,-34.5299,1996_2010,1996_2024,14
usa_NC_0032_0160,15,1.3080,0.1734,0.3023,509,1996-01-26,2024-12-08,58.5769,13,42.4833,12,18.3120,2.4276,-16.0936,-34.4056,1996_2010,1996_2024,14
usa_NC_0032_0161,15,1.2899,0.1684,0.3088,509,1996-01-26,2024-12-08,53.4538,13,39.0417,12,18.0586,2.3576,-14.4122,-32.4708,1996_2010,1996_2024,14
usa_NC_0032_0162,15,1.2865,0.1593,0.3350,502,1996-01-26,2024-12-08,48.0462,13,37.8667,15,18.0110,2.2302,-10.1795,-28.1905,1996_2010,1996_2024,14
usa_NC_0032_0163,15,1.2483,0.1586,0.3196,511,1996-01-26,2024-12-08,52.8308,13,45.0800,15,17.4762,2.2204,-7.7508,-25.2270,1996_2010,1996_2024,14
usa_NC_0032_0164,15,1.1168,0.1545,0.2838,511,1996-01-26,2024-12-08,44.1385,13,39.2067,15,15.6352,2.1630,-4.9318,-20.5670,1996_2010,1996_2024,14
usa_NC_0032_0165,15,1.1030,0.1554,0.2736,518,1996-01-26,2024-12-08,37.2923,13,40.2600,15,15.4420,2.1756,2.9677,-12.4743,1996_2010,1996_2024,14
usa_NC_0032_0166,16,1.1055,0.1547,0.2756,520,1996-01-26,2024-12-08,36.2692,13,44.7067,15,15.4770,2.1658,8.4374,-7.0396,1996_2010,1996_2024,14
