Year,Month,Decimal_Year,Monthly_MSL_m,Monthly_MSL_mm,Trend_m,Trend_mm,Residual_m,Residual_mm
2012,8,2012.62500,0.07800,78.00000,0.09273,92.72806,-0.01473,-14.72806
2012,9,2012.70833,-0.01200,-12.00000,0.09327,93.27051,-0.10527,-105.27051
2012,12,2012.95833,0.15900,159.00000,0.09490,94.89788,0.06410,64.10212
2013,1,2013.04167,0.05800,58.00000,0.09544,95.44033,-0.03744,-37.44033
2013,2,2013.12500,0.09800,98.00000,0.09598,95.98279,0.00202,2.01721
2013,3,2013.20833,0.16800,168.00000,0.09653,96.52524,0.07147,71.47476
2013,4,2013.29167,0.06900,69.00000,0.09707,97.06770,-0.02807,-28.06770
2013,5,2013.37500,0.03300,33.00000,0.09761,97.61015,-0.06461,-64.61015
2013,6,2013.45833,0.02600,26.00000,0.09815,98.15261,-0.07215,-72.15261
2013,7,2013.54167,0.05600,56.00000,0.09870,98.69506,-0.04270,-42.69506
2013,8,2013.62500,0.11400,114.00000,0.09924,99.23752,0.01476,14.76248
2013,9,2013.70833,0.07200,72.00000,0.09978,99.77997,-0.02778,-27.77997
2013,10,2013.79167,0.14500,145.00000,0.10032,100.32243,0.04468,44.67757
2013,11,2013.87500,0.04400,44.00000,0.10086,100.86488,-0.05686,-56.86488
2013,12,2013.95833,0.03900,39.00000,0.10141,101.40734,-0.06241,-62.40734
2014,1,2014.04167,0.02300,23.00000,0.10195,101.94979,-0.07895,-78.94979
2014,2,2014.12500,0.05500,55.00000,0.10249,102.49225,-0.04749,-47.49225
2014,3,2014.20833,0.12000,120.00000,0.10303,103.03470,0.01697,16.96530
2014,4,2014.29167,0.11000,110.00000,0.10358,103.57715,0.00642,6.42285
2014,5,2014.37500,0.09100,91.00000,0.10412,104.11961,-0.01312,-13.11961
2014,6,2014.45833,0.13500,135.00000,0.10466,104.66206,0.03034,30.33794
2014,7,2014.54167,0.08500,85.00000,0.10520,105.20452,-0.02020,-20.20452
2014,8,2014.62500,0.15800,158.00000,0.10575,105.74697,0.05225,52.25303
2014,9,2014.70833,0.12400,124.00000,0.10629,106.28943,0.01771,17.71057
2014,10,2014.79167,0.10100,101.00000,0.10683,106.83188,-0.00583,-5.83188
2014,11,2014.87500,0.06000,60.00000,0.10737,107.37434,-0.04737,-47.37434
2014,12,2014.95833,0.15700,157.00000,0.10792,107.91679,0.04908,49.08321
2015,1,2015.04167,0.03800,38.00000,0.10846,108.45925,-0.07046,-70.45925
2015,2,2015.12500,0.05900,59.00000,0.10900,109.00170,-0.05000,-50.00170
2015,3,2015.20833,-0.03800,-38.00000,0.10954,109.54416,-0.14754,-147.54416
2015,4,2015.29167,0.00000,0.00000,0.11009,110.08661,-0.11009,-110.08661
2015,5,2015.37500,-0.04200,-42.00000,0.11063,110.62907,-0.15263,-152.62907
2015,6,2015.45833,0.06100,61.00000,0.11117,111.17152,-0.05017,-50.17152
2015,7,2015.54167,0.12900,129.00000,0.11171,111.71398,0.01729,17.28602
2015,8,2015.62500,0.10700,107.00000,0.11226,112.25643,-0.00526,-5.25643
2015,9,2015.70833,0.13400,134.00000,0.11280,112.79889,0.02120,21.20111
2015,10,2015.79167,0.18600,186.00000,0.11334,113.34134,0.07266,72.65866
2015,11,2015.87500,0.10400,104.00000,0.11388,113.88380,-0.00988,-9.88380
2015,12,2015.95833,0.11100,111.00000,0.11443,114.42625,-0.00343,-3.42625
2016,1,2016.04167,0.17600,176.00000,0.11497,114.96870,0.06103,61.03130
2016,2,2016.12500,0.08300,83.00000,0.11551,115.51116,-0.03251,-32.51116
2016,3,2016.20833,0.08700,87.00000,0.11605,116.05361,-0.02905,-29.05361
2016,4,2016.29167,0.09700,97.00000,0.11660,116.59607,-0.01960,-19.59607
2016,5,2016.37500,0.13300,133.00000,0.11714,117.13852,0.01586,15.86148
2016,6,2016.45833,0.12700,127.00000,0.11768,117.68098,0.00932,9.31902
2016,7,2016.54167,0.10600,106.00000,0.11822,118.22343,-0.01222,-12.22343
2016,8,2016.62500,0.06600,66.00000,0.11877,118.76589,-0.05277,-52.76589
2016,9,2016.70833,0.17800,178.00000,0.11931,119.30834,0.05869,58.69166
2016,10,2016.79167,0.16800,168.00000,0.11985,119.85080,0.04815,48.14920
2016,11,2016.87500,0.09800,98.00000,0.12039,120.39325,-0.02239,-22.39325
2016,12,2016.95833,0.08000,80.00000,0.12094,120.93571,-0.04094,-40.93571
2017,1,2017.04167,0.09300,93.00000,0.12148,121.47816,-0.02848,-28.47816
2017,2,2017.12500,0.06400,64.00000,0.12202,122.02062,-0.05802,-58.02062
2017,3,2017.20833,-0.02200,-22.00000,0.12256,122.56307,-0.14456,-144.56307
2017,4,2017.29167,0.10700,107.00000,0.12311,123.10553,-0.01611,-16.10553
2017,5,2017.37500,0.15500,155.00000,0.12365,123.64798,0.03135,31.35202
2017,6,2017.45833,0.09100,91.00000,0.12419,124.19044,-0.03319,-33.19044
2017,7,2017.54167,0.13100,131.00000,0.12473,124.73289,0.00627,6.26711
2017,8,2017.62500,0.16600,166.00000,0.12528,125.27534,0.04072,40.72466
2017,9,2017.70833,0.21400,214.00000,0.12582,125.81780,0.08818,88.18220
2017,10,2017.79167,0.09600,96.00000,0.12636,126.36025,-0.03036,-30.36025
2017,11,2017.87500,0.17500,175.00000,0.12690,126.90271,0.04810,48.09729
2017,12,2017.95833,0.08200,82.00000,0.12745,127.44516,-0.04545,-45.44516
2018,1,2018.04167,0.01700,17.00000,0.12799,127.98762,-0.11099,-110.98762
2018,2,2018.12500,-0.00400,-4.00000,0.12853,128.53007,-0.13253,-132.53007
2018,3,2018.20833,0.26400,264.00000,0.12907,129.07253,0.13493,134.92747
2018,4,2018.29167,0.07500,75.00000,0.12961,129.61498,-0.05461,-54.61498
2018,5,2018.37500,0.06300,63.00000,0.13016,130.15744,-0.06716,-67.15744
2018,6,2018.45833,0.21500,215.00000,0.13070,130.69989,0.08430,84.30011
2018,7,2018.54167,0.16700,167.00000,0.13124,131.24235,0.03576,35.75765
2018,8,2018.62500,0.08500,85.00000,0.13178,131.78480,-0.04678,-46.78480
2018,9,2018.70833,0.22300,223.00000,0.13233,132.32726,0.09067,90.67274
2018,10,2018.79167,0.11200,112.00000,0.13287,132.86971,-0.02087,-20.86971
2018,11,2018.87500,0.13800,138.00000,0.13341,133.41217,0.00459,4.58783
2018,12,2018.95833,0.21400,214.00000,0.13395,133.95462,0.08005,80.04538
2019,1,2019.04167,0.20200,202.00000,0.13450,134.49708,0.06750,67.50292
2019,2,2019.12500,0.11100,111.00000,0.13504,135.03953,-0.02404,-24.03953
2019,3,2019.20833,0.15400,154.00000,0.13558,135.58198,0.01842,18.41802
2019,4,2019.29167,0.10100,101.00000,0.13612,136.12444,-0.03512,-35.12444
2019,5,2019.37500,0.18600,186.00000,0.13667,136.66689,0.04933,49.33311
2019,6,2019.45833,0.16000,160.00000,0.13721,137.20935,0.02279,22.79065
2019,7,2019.54167,0.16500,165.00000,0.13775,137.75180,0.02725,27.24820
2019,8,2019.62500,0.17700,177.00000,0.13829,138.29426,0.03871,38.70574
2019,9,2019.70833,0.17300,173.00000,0.13884,138.83671,0.03416,34.16329
2019,10,2019.79167,0.23700,237.00000,0.13938,139.37917,0.09762,97.62083
2019,11,2019.87500,0.17900,179.00000,0.13992,139.92162,0.03908,39.07838
2019,12,2019.95833,0.13500,135.00000,0.14046,140.46408,-0.00546,-5.46408
2020,1,2020.04167,0.16100,161.00000,0.14101,141.00653,0.01999,19.99347
2020,2,2020.12500,0.12200,122.00000,0.14155,141.54899,-0.01955,-19.54899
2020,3,2020.20833,0.17300,173.00000,0.14209,142.09144,0.03091,30.90856
2020,4,2020.29167,0.20500,205.00000,0.14263,142.63390,0.06237,62.36610
2020,5,2020.37500,0.10800,108.00000,0.14318,143.17635,-0.03518,-35.17635
2020,6,2020.45833,0.14000,140.00000,0.14372,143.71881,-0.00372,-3.71881
2020,7,2020.54167,0.15800,158.00000,0.14426,144.26126,0.01374,13.73874
2020,8,2020.62500,0.09500,95.00000,0.14480,144.80372,-0.04980,-49.80372
2020,9,2020.70833,0.18400,184.00000,0.14535,145.34617,0.03865,38.65383
2020,10,2020.79167,0.12600,126.00000,0.14589,145.88863,-0.01989,-19.88863
2020,11,2020.87500,0.06000,60.00000,0.14643,146.43108,-0.08643,-86.43108
2020,12,2020.95833,0.11300,113.00000,0.14697,146.97353,-0.03397,-33.97353
2021,1,2021.04167,0.25100,251.00000,0.14752,147.51599,0.10348,103.48401
2021,2,2021.12500,0.25400,254.00000,0.14806,148.05844,0.10594,105.94156
2021,3,2021.20833,0.09000,90.00000,0.14860,148.60090,-0.05860,-58.60090
2021,4,2021.29167,0.14600,146.00000,0.14914,149.14335,-0.00314,-3.14335
2021,5,2021.37500,0.06100,61.00000,0.14969,149.68581,-0.08869,-88.68581
2021,6,2021.45833,0.06300,63.00000,0.15023,150.22826,-0.08723,-87.22826
2021,7,2021.54167,0.07500,75.00000,0.15077,150.77072,-0.07577,-75.77072
2021,8,2021.62500,0.11300,113.00000,0.15131,151.31317,-0.03831,-38.31317
2021,9,2021.70833,0.06200,62.00000,0.15186,151.85563,-0.08986,-89.85563
2021,10,2021.79167,0.20200,202.00000,0.15240,152.39808,0.04960,49.60192
2021,11,2021.87500,0.18600,186.00000,0.15294,152.94054,0.03306,33.05946
2021,12,2021.95833,0.09900,99.00000,0.15348,153.48299,-0.05448,-54.48299
2022,1,2022.04167,0.22200,222.00000,0.15403,154.02545,0.06797,67.97455
2022,2,2022.12500,0.03100,31.00000,0.15457,154.56790,-0.12357,-123.56790
2022,3,2022.20833,0.03400,34.00000,0.15511,155.11036,-0.12111,-121.11036
2022,4,2022.29167,0.07400,74.00000,0.15565,155.65281,-0.08165,-81.65281
2022,5,2022.37500,0.24000,240.00000,0.15620,156.19527,0.08380,83.80473
2022,6,2022.45833,0.14000,140.00000,0.15674,156.73772,-0.01674,-16.73772
2022,7,2022.54167,0.05800,58.00000,0.15728,157.28017,-0.09928,-99.28017
2022,8,2022.62500,0.06700,67.00000,0.15782,157.82263,-0.09082,-90.82263
2022,9,2022.70833,0.12700,127.00000,0.15837,158.36508,-0.03137,-31.36508
2022,10,2022.79167,0.18900,189.00000,0.15891,158.90754,0.03009,30.09246
2022,11,2022.87500,0.11300,113.00000,0.15945,159.44999,-0.04645,-46.44999
2022,12,2022.95833,0.18600,186.00000,0.15999,159.99245,0.02601,26.00755
2023,1,2023.04167,0.14800,148.00000,0.16053,160.53490,-0.01253,-12.53490
2023,2,2023.12500,0.14600,146.00000,0.16108,161.07736,-0.01508,-15.07736
2023,3,2023.20833,0.25600,256.00000,0.16162,161.61981,0.09438,94.38019
2023,4,2023.29167,0.15400,154.00000,0.16216,162.16227,-0.00816,-8.16227
2023,5,2023.37500,0.19700,197.00000,0.16270,162.70472,0.03430,34.29528
2023,6,2023.45833,0.23500,235.00000,0.16325,163.24718,0.07175,71.75282
2023,7,2023.54167,0.14800,148.00000,0.16379,163.78963,-0.01579,-15.78963
2023,8,2023.62500,0.12600,126.00000,0.16433,164.33209,-0.03833,-38.33209
2023,9,2023.70833,0.21300,213.00000,0.16487,164.87454,0.04813,48.12546
2023,10,2023.79167,0.19200,192.00000,0.16542,165.41700,0.02658,26.58300
2023,11,2023.87500,0.25300,253.00000,0.16596,165.95945,0.08704,87.04055
2023,12,2023.95833,0.21200,212.00000,0.16650,166.50191,0.04550,45.49809
2024,1,2024.04167,0.24900,249.00000,0.16704,167.04436,0.08196,81.95564
2024,2,2024.12500,0.34400,344.00000,0.16759,167.58681,0.17641,176.41319
2024,3,2024.20833,0.25800,258.00000,0.16813,168.12927,0.08987,89.87073
2024,4,2024.29167,0.26100,261.00000,0.16867,168.67172,0.09233,92.32828
2024,5,2024.37500,0.27400,274.00000,0.16921,169.21418,0.10479,104.78582
2024,6,2024.45833,0.09000,90.00000,0.16976,169.75663,-0.07976,-79.75663
2024,7,2024.54167,0.09100,91.00000,0.17030,170.29909,-0.07930,-79.29909
2024,8,2024.62500,0.09400,94.00000,0.17084,170.84154,-0.07684,-76.84154
2024,9,2024.70833,0.30300,303.00000,0.17138,171.38400,0.13162,131.61600
2024,10,2024.79167,0.18400,184.00000,0.17193,171.92645,0.01207,12.07355
2024,11,2024.87500,0.17900,179.00000,0.17247,172.46891,0.00653,6.53109
2024,12,2024.95833,0.06900,69.00000,0.17301,173.01136,-0.10401,-104.01136
