domain_number,n_valid,mean_lrr,median_lrr,std_lrr,min_lrr,max_lrr,pct_eroding,n_transects
80.0,10,-5.355,-5.359,1.048,-6.851,-3.633,100.0,10
81.0,10,-2.659,-2.654,0.621,-3.768,-1.95,100.0,10
82.0,10,-7.071,-7.637,1.471,-8.52,-4.42,100.0,10
83.0,10,-5.74,-5.667,0.98,-7.455,-4.296,100.0,10
84.0,11,-3.553,-3.549,0.259,-3.957,-3.231,100.0,11
85.0,12,-2.861,-3.018,0.323,-3.222,-2.329,100.0,12
86.0,12,-1.605,-1.471,0.347,-2.251,-1.178,100.0,12
87.0,11,-2.112,-2.134,0.328,-2.521,-1.471,100.0,11
88.0,10,-1.546,-1.541,0.196,-1.846,-1.252,100.0,10
89.0,9,-1.237,-1.193,0.196,-1.563,-0.979,100.0,9
90.0,50,0.097,0.068,0.774,-1.553,1.927,46.0,50
