arm,gis,pad,drowned,relocation_blocked,last_managed_year,reason,overwash_removed_m3,dunes_rebuilt,relocations
free,63,77,False,False,21,managed throughout,7435.0339789299605,1,0
free,64,78,False,False,21,managed throughout,10037.85196018355,1,0
free,65,79,False,False,21,managed throughout,1973.8895067388046,2,0
free,66,80,False,False,21,managed throughout,2838.8817573430974,1,0
free,67,81,False,False,21,managed throughout,2534.991821226839,1,0
free,84,98,False,False,21,managed throughout,4203.119248788394,3,1
free,85,99,False,False,21,managed throughout,6139.743612659789,3,1
free,86,100,False,False,21,managed throughout,11498.215687876334,3,2
free,87,101,False,False,21,managed throughout,6581.253428043074,3,0
free,88,102,False,False,21,managed throughout,3295.1507873403716,2,0
free,89,103,False,False,21,managed throughout,7329.288356477071,2,0
free,90,104,False,False,21,managed throughout,5395.672495888357,2,0
prescribed,9,23,False,False,21,managed throughout,8853.40911521655,2,0
prescribed,10,24,False,False,21,managed throughout,9373.407827075122,2,1
prescribed,11,25,True,False,17,drowned,2092.5331307461474,1,1
prescribed,12,26,False,False,21,managed throughout,5827.880250550168,2,0
prescribed,13,27,False,False,21,managed throughout,9063.515577421718,1,0
prescribed,14,28,False,False,21,managed throughout,7761.49808095295,2,0
prescribed,15,29,False,False,21,managed throughout,12052.78495494502,1,0
prescribed,16,30,False,False,21,managed throughout,7728.439451515091,1,0
prescribed,17,31,False,False,21,managed throughout,6720.9282241931205,1,0
prescribed,18,32,False,False,21,managed throughout,3084.47672400313,2,0
prescribed,19,33,False,False,21,managed throughout,2215.71751099156,2,0
prescribed,20,34,False,False,21,managed throughout,8796.583351807356,1,0
prescribed,32,46,False,False,21,managed throughout,1618.7258906922339,2,0
prescribed,33,47,False,False,21,managed throughout,3014.6626079268453,2,0
prescribed,34,48,False,False,21,managed throughout,2498.865100455709,1,0
prescribed,35,49,False,False,21,managed throughout,1545.0316987008375,2,0
prescribed,36,50,False,False,21,managed throughout,1734.6358352661189,1,0
prescribed,37,51,False,False,21,managed throughout,3897.1766204176142,1,0
prescribed,38,52,False,False,21,managed throughout,3869.529480200592,2,0
prescribed,39,53,False,False,21,managed throughout,4049.6145987510745,0,0
prescribed,40,54,False,False,21,managed throughout,6109.6467319056765,1,0
prescribed,41,55,False,False,21,managed throughout,5458.2226381113605,1,0
prescribed,42,56,False,False,21,managed throughout,7688.035679221736,2,0
prescribed,43,57,False,False,21,managed throughout,5333.514180801532,2,0
prescribed,44,58,False,False,21,managed throughout,4378.635140592916,2,0
prescribed,45,59,False,False,21,managed throughout,7537.636930580108,1,0
prescribed,46,60,False,False,21,managed throughout,8398.677477076064,2,0
prescribed,47,61,False,False,21,managed throughout,8353.16773464494,2,0
prescribed,48,62,False,False,21,managed throughout,7677.009434100759,1,0
prescribed,49,63,False,False,21,managed throughout,4930.325607020523,1,0
prescribed,50,64,False,False,21,managed throughout,11228.532861978236,2,0
prescribed,51,65,False,False,21,managed throughout,7605.122351870335,2,0
prescribed,52,66,False,False,21,managed throughout,2723.156607151039,1,0
prescribed,53,67,False,False,21,managed throughout,8114.617815389298,2,0
prescribed,54,68,False,False,21,managed throughout,3630.0422357439234,1,0
prescribed,55,69,False,False,21,managed throughout,5102.822079348186,2,0
prescribed,56,70,False,False,21,managed throughout,8055.32202233698,2,0
prescribed,57,71,False,False,21,managed throughout,7600.346563178496,2,0
prescribed,58,72,False,False,21,managed throughout,5213.291918649536,1,0
prescribed,59,73,False,False,21,managed throughout,6938.780016532786,2,0
prescribed,60,74,False,False,21,managed throughout,5226.016155254916,2,0
prescribed,61,75,False,False,21,managed throughout,4655.849151980857,2,0
prescribed,62,76,False,False,21,managed throughout,5882.9856677118405,2,0
prescribed,63,77,False,False,21,managed throughout,7435.0339789299605,1,0
prescribed,64,78,False,False,21,managed throughout,10037.85196018355,1,0
prescribed,65,79,False,False,21,managed throughout,1973.8895067388046,2,0
prescribed,66,80,False,False,21,managed throughout,2838.8817573430974,1,0
prescribed,67,81,False,False,21,managed throughout,2534.991821226839,1,0
prescribed,84,98,False,False,21,managed throughout,8547.291789973387,3,0
prescribed,85,99,False,False,21,managed throughout,8530.447996711737,3,0
prescribed,86,100,False,False,21,managed throughout,10199.11686672531,3,1
prescribed,87,101,False,False,21,managed throughout,9662.384883133942,3,0
prescribed,88,102,False,False,21,managed throughout,3295.1507873403716,2,0
prescribed,89,103,False,False,21,managed throughout,7329.288356477071,2,0
prescribed,90,104,False,False,21,managed throughout,5395.672495888357,2,0
