source,date,year,extent_m,n_segments,n_transects_covered
coastsat,1993-01-01,1993,,,434.0
coastsat,1993-03-06,1993,,,1241.0
coastsat,1993-03-22,1993,,,1238.0
coastsat,1993-04-23,1993,,,1177.0
coastsat,1993-05-09,1993,,,213.0
coastsat,1993-05-25,1993,,,966.0
coastsat,1993-06-10,1993,,,1242.0
coastsat,1993-07-28,1993,,,245.0
coastsat,1993-08-29,1993,,,1132.0
wet_dry,1993-09-02,1993,6128.849099948295,1.0,
coastsat,1993-09-30,1993,,,883.0
coastsat,1993-11-01,1993,,,1169.0
coastsat,1993-12-19,1993,,,1137.0
coastsat,1994-04-10,1994,,,775.0
coastsat,1994-04-26,1994,,,1248.0
coastsat,1994-06-13,1994,,,1136.0
coastsat,1994-07-15,1994,,,1221.0
coastsat,1994-09-01,1994,,,791.0
coastsat,1994-09-17,1994,,,313.0
coastsat,1994-10-19,1994,,,983.0
coastsat,1994-11-04,1994,,,1251.0
coastsat,1995-03-12,1995,,,1250.0
coastsat,1995-03-28,1995,,,1238.0
coastsat,1995-04-13,1995,,,12.0
coastsat,1995-04-29,1995,,,1072.0
coastsat,1995-05-31,1995,,,147.0
coastsat,1995-06-16,1995,,,1176.0
coastsat,1995-07-18,1995,,,799.0
coastsat,1995-08-19,1995,,,510.0
coastsat,1995-09-04,1995,,,1204.0
coastsat,1995-09-20,1995,,,1197.0
wet_dry,1995-10-18,1995,5886.637210666565,1.0,
coastsat,1995-10-22,1995,,,1250.0
coastsat,1995-11-23,1995,,,604.0
coastsat,1995-12-25,1995,,,1251.0
coastsat,1996-01-26,1996,,,959.0
coastsat,1996-02-11,1996,,,821.0
coastsat,1996-02-27,1996,,,1250.0
coastsat,1996-03-14,1996,,,1206.0
coastsat,1996-04-15,1996,,,1250.0
coastsat,1996-05-01,1996,,,1072.0
coastsat,1996-05-17,1996,,,811.0
coastsat,1996-06-18,1996,,,1081.0
coastsat,1996-07-04,1996,,,1237.0
coastsat,1996-07-20,1996,,,657.0
coastsat,1996-09-06,1996,,,1205.0
wet_dry,1996-10-14,1996,6536.951320862733,1.0,
coastsat,1996-11-09,1996,,,1249.0
coastsat,1996-11-25,1996,,,1063.0
coastsat,1996-12-11,1996,,,1250.0
nc_state,1997-01-01,1997,67377.68329137006,2.0,
coastsat,1997-01-12,1997,,,1227.0
coastsat,1997-05-04,1997,,,925.0
coastsat,1997-06-21,1997,,,1194.0
coastsat,1997-07-07,1997,,,638.0
coastsat,1997-08-24,1997,,,731.0
coastsat,1997-09-09,1997,,,386.0
coastsat,1997-10-11,1997,,,519.0
wet_dry,1997-10-12,1997,7244.464206971039,1.0,
coastsat,1997-12-30,1997,,,1060.0
coastsat,1998-01-31,1998,,,307.0
coastsat,1998-03-04,1998,,,1251.0
coastsat,1998-04-21,1998,,,1250.0
coastsat,1998-05-07,1998,,,1249.0
coastsat,1998-06-08,1998,,,174.0
coastsat,1998-07-10,1998,,,438.0
nc_state,1998-07-22,1998,69242.86214445185,2.0,
coastsat,1998-08-11,1998,,,455.0
coastsat,1998-09-12,1998,,,1240.0
coastsat,1998-10-14,1998,,,925.0
coastsat,1998-10-30,1998,,,1250.0
coastsat,1998-12-01,1998,,,1250.0
coastsat,1998-12-17,1998,,,1251.0
coastsat,1999-01-02,1999,,,147.0
coastsat,1999-02-03,1999,,,147.0
coastsat,1999-03-07,1999,,,1249.0
coastsat,1999-03-23,1999,,,1250.0
coastsat,1999-04-08,1999,,,1142.0
coastsat,1999-04-24,1999,,,343.0
coastsat,1999-05-10,1999,,,105.0
coastsat,1999-06-11,1999,,,198.0
coastsat,1999-06-27,1999,,,874.0
coastsat,1999-07-05,1999,,,874.0
coastsat,1999-07-30,1999,,,1250.0
coastsat,1999-08-06,1999,,,530.0
coastsat,1999-08-22,1999,,,51.0
coastsat,1999-09-23,1999,,,1237.0
coastsat,1999-10-01,1999,,,1226.0
coastsat,1999-10-02,1999,,,1249.0
coastsat,1999-10-09,1999,,,1251.0
coastsat,1999-10-25,1999,,,810.0
coastsat,1999-11-03,1999,,,1130.0
coastsat,1999-11-18,1999,,,1250.0
coastsat,1999-11-19,1999,,,1249.0
coastsat,1999-11-26,1999,,,962.0
coastsat,1999-12-04,1999,,,1212.0
coastsat,1999-12-05,1999,,,1227.0
coastsat,1999-12-12,1999,,,510.0
coastsat,1999-12-20,1999,,,474.0
coastsat,2000-01-06,2000,,,64.0
coastsat,2000-01-13,2000,,,1242.0
coastsat,2000-01-21,2000,,,797.0
coastsat,2000-01-22,2000,,,1217.0
coastsat,2000-01-29,2000,,,1230.0
coastsat,2000-02-22,2000,,,1251.0
coastsat,2000-02-23,2000,,,1037.0
coastsat,2000-03-01,2000,,,1226.0
coastsat,2000-03-09,2000,,,3.0
coastsat,2000-03-10,2000,,,1249.0
coastsat,2000-03-17,2000,,,166.0
coastsat,2000-03-25,2000,,,96.0
coastsat,2000-04-10,2000,,,1249.0
coastsat,2000-04-11,2000,,,474.0
coastsat,2000-05-04,2000,,,1248.0
coastsat,2000-05-12,2000,,,1248.0
coastsat,2000-05-13,2000,,,1247.0
coastsat,2000-05-20,2000,,,619.0
coastsat,2000-06-14,2000,,,1164.0
coastsat,2000-06-30,2000,,,1233.0
coastsat,2000-07-07,2000,,,232.0
coastsat,2000-07-16,2000,,,1227.0
coastsat,2000-08-01,2000,,,1103.0
coastsat,2000-08-08,2000,,,232.0
coastsat,2000-08-16,2000,,,1248.0
coastsat,2000-08-17,2000,,,473.0
coastsat,2000-08-24,2000,,,1036.0
coastsat,2000-09-01,2000,,,123.0
coastsat,2000-09-02,2000,,,1059.0
coastsat,2000-09-25,2000,,,517.0
coastsat,2000-10-03,2000,,,1251.0
coastsat,2000-10-04,2000,,,1241.0
coastsat,2000-10-19,2000,,,1140.0
coastsat,2000-10-20,2000,,,925.0
coastsat,2000-11-05,2000,,,1140.0
coastsat,2000-11-21,2000,,,1235.0
coastsat,2000-11-28,2000,,,1248.0
coastsat,2000-12-06,2000,,,747.0
coastsat,2000-12-07,2000,,,1247.0
coastsat,2000-12-22,2000,,,444.0
coastsat,2000-12-30,2000,,,1232.0
coastsat,2001-01-07,2001,,,704.0
coastsat,2001-01-24,2001,,,506.0
coastsat,2001-01-31,2001,,,416.0
coastsat,2001-02-08,2001,,,1250.0
coastsat,2001-02-24,2001,,,1250.0
coastsat,2001-02-25,2001,,,72.0
coastsat,2001-03-28,2001,,,1250.0
coastsat,2001-04-05,2001,,,1250.0
coastsat,2001-04-14,2001,,,1204.0
coastsat,2001-04-21,2001,,,1216.0
coastsat,2001-04-29,2001,,,1059.0
coastsat,2001-04-30,2001,,,1249.0
coastsat,2001-06-01,2001,,,211.0
coastsat,2001-07-03,2001,,,1215.0
coastsat,2001-07-10,2001,,,507.0
coastsat,2001-07-26,2001,,,1224.0
coastsat,2001-08-03,2001,,,339.0
coastsat,2001-08-04,2001,,,462.0
coastsat,2001-08-11,2001,,,420.0
coastsat,2001-08-20,2001,,,112.0
coastsat,2001-08-27,2001,,,792.0
coastsat,2001-09-05,2001,,,468.0
coastsat,2001-09-12,2001,,,1168.0
coastsat,2001-09-28,2001,,,354.0
coastsat,2001-10-07,2001,,,1248.0
coastsat,2001-10-14,2001,,,1176.0
coastsat,2001-10-22,2001,,,1188.0
coastsat,2001-10-23,2001,,,473.0
coastsat,2001-10-30,2001,,,1251.0
coastsat,2001-11-07,2001,,,1249.0
coastsat,2001-11-08,2001,,,1250.0
coastsat,2001-12-26,2001,,,650.0
coastsat,2002-01-10,2002,,,909.0
coastsat,2002-01-26,2002,,,1251.0
coastsat,2002-01-27,2002,,,1250.0
nc_state,2002-02-01,2002,69973.69976859083,7.0,
coastsat,2002-02-11,2002,,,1250.0
coastsat,2002-02-12,2002,,,1250.0
coastsat,2002-02-19,2002,,,1239.0
coastsat,2002-02-28,2002,,,1250.0
coastsat,2002-03-16,2002,,,844.0
coastsat,2002-03-23,2002,,,1251.0
coastsat,2002-04-01,2002,,,261.0
coastsat,2002-04-08,2002,,,384.0
coastsat,2002-04-17,2002,,,1250.0
coastsat,2002-04-24,2002,,,1250.0
coastsat,2002-05-02,2002,,,787.0
coastsat,2002-05-10,2002,,,66.0
coastsat,2002-05-26,2002,,,1029.0
coastsat,2002-06-04,2002,,,1099.0
coastsat,2002-06-11,2002,,,249.0
coastsat,2002-06-27,2002,,,147.0
coastsat,2002-07-05,2002,,,514.0
coastsat,2002-07-22,2002,,,597.0
coastsat,2002-07-29,2002,,,1246.0
coastsat,2002-08-22,2002,,,1104.0
coastsat,2002-08-23,2002,,,1178.0
coastsat,2002-09-07,2002,,,111.0
coastsat,2002-09-08,2002,,,472.0
coastsat,2002-09-15,2002,,,196.0
coastsat,2002-10-01,2002,,,1236.0
coastsat,2002-10-17,2002,,,526.0
coastsat,2002-11-02,2002,,,1245.0
coastsat,2002-11-11,2002,,,925.0
coastsat,2002-11-18,2002,,,1203.0
coastsat,2002-11-26,2002,,,1032.0
coastsat,2002-12-28,2002,,,1243.0
coastsat,2002-12-29,2002,,,1236.0
coastsat,2003-01-05,2003,,,1173.0
coastsat,2003-01-14,2003,,,795.0
coastsat,2003-03-10,2003,,,1065.0
coastsat,2003-03-26,2003,,,754.0
coastsat,2003-04-03,2003,,,1247.0
coastsat,2003-04-04,2003,,,1034.0
coastsat,2003-04-27,2003,,,146.0
coastsat,2003-05-13,2003,,,453.0
coastsat,2003-05-29,2003,,,346.0
coastsat,2003-06-22,2003,,,320.0
coastsat,2003-07-08,2003,,,810.0
coastsat,2003-07-16,2003,,,206.0
coastsat,2003-08-25,2003,,,1213.0
coastsat,2003-08-26,2003,,,626.0
coastsat,2003-09-02,2003,,,469.0
coastsat,2003-09-26,2003,,,354.0
coastsat,2003-10-12,2003,,,26.0
coastsat,2003-10-13,2003,,,752.0
coastsat,2003-10-20,2003,,,679.0
coastsat,2003-11-05,2003,,,266.0
coastsat,2003-11-13,2003,,,1245.0
coastsat,2003-11-14,2003,,,785.0
coastsat,2003-11-21,2003,,,671.0
coastsat,2003-11-29,2003,,,1241.0
coastsat,2003-11-30,2003,,,542.0
coastsat,2003-12-07,2003,,,687.0
coastsat,2003-12-15,2003,,,1246.0
coastsat,2003-12-23,2003,,,233.0
coastsat,2003-12-31,2003,,,1246.0
coastsat,2004-01-01,2004,,,480.0
coastsat,2004-01-08,2004,,,652.0
coastsat,2004-01-16,2004,,,1241.0
coastsat,2004-01-17,2004,,,777.0
coastsat,2004-01-24,2004,,,679.0
coastsat,2004-02-01,2004,,,460.0
coastsat,2004-02-02,2004,,,611.0
coastsat,2004-02-25,2004,,,303.0
coastsat,2004-03-04,2004,,,163.0
coastsat,2004-03-12,2004,,,671.0
coastsat,2004-03-20,2004,,,1248.0
coastsat,2004-04-05,2004,,,1156.0
coastsat,2004-04-06,2004,,,653.0
coastsat,2004-04-21,2004,,,110.0
coastsat,2004-04-22,2004,,,527.0
coastsat,2004-04-29,2004,,,679.0
coastsat,2004-05-07,2004,,,1249.0
coastsat,2004-05-08,2004,,,788.0
coastsat,2004-05-15,2004,,,538.0
coastsat,2004-05-23,2004,,,1249.0
wet_dry,2004-05-25,2004,8503.106626061417,1.0,
coastsat,2004-06-08,2004,,,521.0
coastsat,2004-07-26,2004,,,637.0
coastsat,2004-07-27,2004,,,99.0
coastsat,2004-08-11,2004,,,170.0
coastsat,2004-08-12,2004,,,238.0
coastsat,2004-08-19,2004,,,554.0
coastsat,2004-08-27,2004,,,1185.0
nc_state,2004-08-31,2004,2862.9435859516334,2.0,
nc_state,2004-09-01,2004,64563.05503544878,1.0,
nc_state,2004-09-03,2004,67947.71664553718,1.0,
coastsat,2004-09-28,2004,,,93.0
coastsat,2004-09-29,2004,,,292.0
coastsat,2004-10-30,2004,,,863.0
coastsat,2004-10-31,2004,,,742.0
coastsat,2004-11-07,2004,,,596.0
coastsat,2004-11-15,2004,,,534.0
coastsat,2004-12-02,2004,,,771.0
coastsat,2004-12-17,2004,,,1096.0
coastsat,2005-01-18,2005,,,514.0
coastsat,2005-01-19,2005,,,275.0
coastsat,2005-02-11,2005,,,634.0
coastsat,2005-02-19,2005,,,1215.0
coastsat,2005-03-07,2005,,,1209.0
coastsat,2005-03-15,2005,,,666.0
coastsat,2005-05-02,2005,,,682.0
coastsat,2005-05-10,2005,,,1214.0
coastsat,2005-05-11,2005,,,641.0
coastsat,2005-05-26,2005,,,525.0
coastsat,2005-06-11,2005,,,83.0
coastsat,2005-06-27,2005,,,186.0
coastsat,2005-07-21,2005,,,344.0
coastsat,2005-08-06,2005,,,91.0
coastsat,2005-08-14,2005,,,533.0
coastsat,2005-08-15,2005,,,535.0
coastsat,2005-08-22,2005,,,591.0
coastsat,2005-08-31,2005,,,91.0
coastsat,2005-09-07,2005,,,185.0
coastsat,2005-09-23,2005,,,681.0
coastsat,2005-10-01,2005,,,1250.0
coastsat,2005-10-09,2005,,,420.0
coastsat,2005-10-17,2005,,,1250.0
coastsat,2005-10-18,2005,,,641.0
coastsat,2005-11-03,2005,,,641.0
coastsat,2005-11-19,2005,,,646.0
coastsat,2005-11-26,2005,,,678.0
coastsat,2005-12-12,2005,,,511.0
coastsat,2006-01-21,2006,,,474.0
coastsat,2006-02-06,2006,,,819.0
coastsat,2006-02-14,2006,,,685.0
coastsat,2006-03-02,2006,,,610.0
coastsat,2006-03-11,2006,,,641.0
coastsat,2006-03-18,2006,,,681.0
coastsat,2006-03-27,2006,,,649.0
coastsat,2006-04-11,2006,,,1250.0
coastsat,2006-04-19,2006,,,693.0
coastsat,2006-04-28,2006,,,645.0
coastsat,2006-05-13,2006,,,843.0
coastsat,2006-06-15,2006,,,637.0
coastsat,2006-06-30,2006,,,970.0
coastsat,2006-07-17,2006,,,645.0
coastsat,2006-08-01,2006,,,1219.0
coastsat,2006-08-02,2006,,,638.0
coastsat,2006-08-09,2006,,,186.0
coastsat,2006-08-17,2006,,,147.0
coastsat,2006-08-25,2006,,,659.0
coastsat,2006-09-02,2006,,,1199.0
coastsat,2006-09-03,2006,,,660.0
coastsat,2006-09-18,2006,,,1242.0
coastsat,2006-09-26,2006,,,339.0
coastsat,2006-10-04,2006,,,1226.0
coastsat,2006-10-05,2006,,,621.0
coastsat,2006-10-12,2006,,,684.0
coastsat,2006-10-20,2006,,,1196.0
coastsat,2006-10-21,2006,,,602.0
coastsat,2006-10-28,2006,,,51.0
coastsat,2006-11-05,2006,,,1250.0
coastsat,2006-11-06,2006,,,119.0
coastsat,2006-12-15,2006,,,106.0
coastsat,2007-01-09,2007,,,643.0
coastsat,2007-01-24,2007,,,1193.0
coastsat,2007-02-09,2007,,,740.0
coastsat,2007-02-10,2007,,,481.0
coastsat,2007-02-17,2007,,,660.0
coastsat,2007-02-26,2007,,,645.0
nc_state,2007-03-03,2007,70380.73519717787,3.0,
coastsat,2007-03-05,2007,,,672.0
coastsat,2007-03-30,2007,,,649.0
coastsat,2007-04-06,2007,,,419.0
coastsat,2007-04-22,2007,,,663.0
coastsat,2007-04-30,2007,,,1251.0
coastsat,2007-05-01,2007,,,479.0
coastsat,2007-05-24,2007,,,640.0
coastsat,2007-06-09,2007,,,85.0
coastsat,2007-06-17,2007,,,308.0
coastsat,2007-06-18,2007,,,481.0
coastsat,2007-07-03,2007,,,90.0
coastsat,2007-07-04,2007,,,636.0
coastsat,2007-07-19,2007,,,527.0
coastsat,2007-07-27,2007,,,189.0
coastsat,2007-08-04,2007,,,847.0
coastsat,2007-08-12,2007,,,671.0
coastsat,2007-08-20,2007,,,1190.0
coastsat,2007-08-21,2007,,,638.0
coastsat,2007-08-28,2007,,,691.0
coastsat,2007-09-05,2007,,,1251.0
coastsat,2007-09-06,2007,,,480.0
coastsat,2007-09-13,2007,,,246.0
coastsat,2007-09-29,2007,,,471.0
coastsat,2007-10-15,2007,,,702.0
coastsat,2007-10-31,2007,,,655.0
coastsat,2007-11-16,2007,,,676.0
coastsat,2007-12-18,2007,,,666.0
coastsat,2008-01-27,2008,,,1242.0
coastsat,2008-01-28,2008,,,534.0
coastsat,2008-02-04,2008,,,529.0
coastsat,2008-02-20,2008,,,684.0
coastsat,2008-02-28,2008,,,1248.0
coastsat,2008-02-29,2008,,,482.0
coastsat,2008-03-15,2008,,,1234.0
coastsat,2008-03-23,2008,,,687.0
coastsat,2008-04-16,2008,,,1229.0
coastsat,2008-04-17,2008,,,649.0
coastsat,2008-04-24,2008,,,96.0
coastsat,2008-05-02,2008,,,1250.0
coastsat,2008-05-03,2008,,,651.0
coastsat,2008-05-19,2008,,,645.0
coastsat,2008-06-03,2008,,,539.0
coastsat,2008-06-04,2008,,,603.0
coastsat,2008-06-11,2008,,,340.0
coastsat,2008-06-19,2008,,,522.0
coastsat,2008-06-27,2008,,,463.0
coastsat,2008-07-05,2008,,,342.0
coastsat,2008-07-13,2008,,,361.0
coastsat,2008-07-21,2008,,,1230.0
coastsat,2008-07-22,2008,,,482.0
coastsat,2008-07-29,2008,,,494.0
coastsat,2008-08-07,2008,,,473.0
coastsat,2008-08-14,2008,,,671.0
coastsat,2008-08-22,2008,,,1011.0
coastsat,2008-09-07,2008,,,1251.0
coastsat,2008-09-15,2008,,,665.0
coastsat,2008-10-01,2008,,,660.0
coastsat,2008-10-26,2008,,,478.0
coastsat,2008-11-02,2008,,,699.0
coastsat,2008-11-10,2008,,,1242.0
coastsat,2008-11-11,2008,,,631.0
wet_dry,2008-11-14,2008,9471.462131682165,1.0,
coastsat,2008-11-18,2008,,,559.0
coastsat,2008-11-26,2008,,,1249.0
coastsat,2008-11-27,2008,,,478.0
coastsat,2008-12-04,2008,,,656.0
coastsat,2008-12-13,2008,,,529.0
coastsat,2009-01-21,2009,,,85.0
coastsat,2009-02-06,2009,,,706.0
coastsat,2009-03-18,2009,,,1088.0
coastsat,2009-03-19,2009,,,619.0
coastsat,2009-04-04,2009,,,646.0
coastsat,2009-04-11,2009,,,685.0
coastsat,2009-04-27,2009,,,681.0
coastsat,2009-05-21,2009,,,136.0
coastsat,2009-06-23,2009,,,650.0
nc_state,2009-07-11,2009,69035.55588875982,4.0,
coastsat,2009-07-16,2009,,,46.0
coastsat,2009-07-25,2009,,,480.0
coastsat,2009-08-09,2009,,,1248.0
coastsat,2009-08-17,2009,,,476.0
coastsat,2009-08-26,2009,,,597.0
coastsat,2009-10-13,2009,,,462.0
coastsat,2009-10-20,2009,,,683.0
coastsat,2009-11-05,2009,,,653.0
coastsat,2009-11-21,2009,,,137.0
coastsat,2009-11-29,2009,,,244.0
coastsat,2009-11-30,2009,,,363.0
coastsat,2009-12-07,2009,,,534.0
coastsat,2009-12-16,2009,,,251.0
coastsat,2009-12-23,2009,,,700.0
coastsat,2010-02-01,2010,,,1249.0
coastsat,2010-02-17,2010,,,1249.0
coastsat,2010-03-05,2010,,,1244.0
coastsat,2010-03-06,2010,,,656.0
coastsat,2010-03-21,2010,,,1086.0
coastsat,2010-04-06,2010,,,1250.0
coastsat,2010-04-07,2010,,,663.0
nc_state,2010-04-11,2010,69093.51769568025,4.0,
coastsat,2010-04-14,2010,,,63.0
coastsat,2010-04-22,2010,,,1199.0
coastsat,2010-04-23,2010,,,642.0
coastsat,2010-04-30,2010,,,685.0
coastsat,2010-05-08,2010,,,1248.0
coastsat,2010-07-11,2010,,,134.0
coastsat,2010-07-19,2010,,,77.0
coastsat,2010-07-28,2010,,,469.0
coastsat,2010-08-20,2010,,,430.0
coastsat,2010-08-28,2010,,,488.0
coastsat,2010-08-29,2010,,,618.0
coastsat,2010-09-05,2010,,,485.0
coastsat,2010-09-13,2010,,,335.0
coastsat,2010-09-14,2010,,,629.0
coastsat,2010-09-21,2010,,,663.0
coastsat,2010-10-07,2010,,,714.0
coastsat,2010-10-15,2010,,,1250.0
coastsat,2010-10-16,2010,,,619.0
coastsat,2010-10-23,2010,,,713.0
coastsat,2010-10-31,2010,,,1122.0
coastsat,2010-11-01,2010,,,417.0
coastsat,2010-11-08,2010,,,706.0
coastsat,2010-11-17,2010,,,472.0
coastsat,2010-11-24,2010,,,715.0
coastsat,2010-12-02,2010,,,1213.0
coastsat,2010-12-10,2010,,,131.0
coastsat,2011-01-03,2011,,,1250.0
coastsat,2011-01-27,2011,,,721.0
coastsat,2011-02-12,2011,,,708.0
coastsat,2011-02-20,2011,,,1073.0
coastsat,2011-03-08,2011,,,1249.0
coastsat,2011-03-24,2011,,,213.0
coastsat,2011-03-25,2011,,,476.0
coastsat,2011-04-10,2011,,,489.0
coastsat,2011-04-17,2011,,,702.0
coastsat,2011-04-25,2011,,,1250.0
coastsat,2011-05-03,2011,,,618.0
coastsat,2011-05-11,2011,,,725.0
coastsat,2011-05-12,2011,,,474.0
coastsat,2011-06-12,2011,,,90.0
coastsat,2011-06-28,2011,,,1251.0
coastsat,2011-07-06,2011,,,290.0
coastsat,2011-07-14,2011,,,1251.0
coastsat,2011-07-15,2011,,,250.0
coastsat,2011-07-22,2011,,,274.0
coastsat,2011-07-30,2011,,,1117.0
coastsat,2011-08-07,2011,,,438.0
coastsat,2011-08-15,2011,,,993.0
coastsat,2011-08-16,2011,,,481.0
coastsat,2011-08-23,2011,,,397.0
coastsat,2011-08-31,2011,,,1151.0
coastsat,2011-09-01,2011,,,472.0
coastsat,2011-09-08,2011,,,396.0
coastsat,2011-10-02,2011,,,473.0
coastsat,2011-10-03,2011,,,610.0
coastsat,2011-10-18,2011,,,1233.0
coastsat,2011-10-26,2011,,,701.0
coastsat,2011-11-03,2011,,,1197.0
coastsat,2011-11-11,2011,,,676.0
coastsat,2011-11-20,2011,,,387.0
coastsat,2011-12-06,2011,,,77.0
coastsat,2011-12-13,2011,,,691.0
coastsat,2011-12-29,2011,,,695.0
coastsat,2012-01-14,2012,,,679.0
coastsat,2012-01-30,2012,,,699.0
coastsat,2012-02-15,2012,,,698.0
nc_state,2012-02-28,2012,70667.01118377778,4.0,
coastsat,2012-03-11,2012,,,785.0
coastsat,2012-03-18,2012,,,111.0
coastsat,2012-03-27,2012,,,743.0
coastsat,2012-04-03,2012,,,691.0
coastsat,2012-04-12,2012,,,304.0
coastsat,2012-05-05,2012,,,630.0
coastsat,2012-06-06,2012,,,70.0
coastsat,2012-07-08,2012,,,330.0
coastsat,2012-07-17,2012,,,519.0
coastsat,2012-07-24,2012,,,710.0
coastsat,2012-08-02,2012,,,84.0
coastsat,2012-08-25,2012,,,709.0
coastsat,2012-09-10,2012,,,441.0
coastsat,2012-09-26,2012,,,712.0
coastsat,2012-10-05,2012,,,73.0
